Hotel,Location,Price,Rating,Score,Number of Reviews,Room Type,Link
Vibe Hotel Melbourne,"Melbourne CBD, Melbourne",AUD 196,Fabulous,8.9,"6,340",Queen Urban,https://www.booking.com/hotel/au/vibe-melbourne-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=554154508_0_2_0_0&highlighted_blocks=554154508_0_2_0_0&matching_block_id=554154508_0_2_0_0&sr_pri_blocks=554154508_0_2_0_0__19647&from=searchresults
DoubleTree by Hilton Melbourne,"Melbourne CBD, Melbourne",AUD 179,Very good,8.4,"1,671",Queen Room,https://www.booking.com/hotel/au/doubletree-hilton-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=4777839_94270136_2_42_0&highlighted_blocks=4777839_94270136_2_42_0&matching_block_id=4777839_94270136_2_42_0&sr_pri_blocks=4777839_94270136_2_42_0__17850&from_sustainable_property_sr=1&from=searchresults
The Victoria Hotel,"Melbourne CBD, Melbourne",AUD 108,Very good,8.2,"12,173",Heritage Queen Room,https://www.booking.com/hotel/au/the-victoria-melbourne-an-all-seasons.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=4637805_0_2_0_0&highlighted_blocks=4637805_0_2_0_0&matching_block_id=4637805_0_2_0_0&sr_pri_blocks=4637805_0_2_0_0__10774&from=searchresults
Grand Hyatt Melbourne,"Melbourne CBD, Melbourne",AUD 335,Fabulous,8.7,"5,153",King Room,https://www.booking.com/hotel/au/grand-hyatt-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=17878036_263833863_2_2_0&highlighted_blocks=17878036_263833863_2_2_0&matching_block_id=17878036_263833863_2_2_0&sr_pri_blocks=17878036_263833863_2_2_0__33500&from=searchresults
Adina Apartment Hotel Melbourne Southbank,"Southbank, Melbourne",AUD 179,Fabulous,8.7,"6,527",Studio Apartment - King,https://www.booking.com/hotel/au/adina-apartment-melbourne-southbank.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=581071901_226424581_0_0_0&highlighted_blocks=581071901_226424581_0_0_0&matching_block_id=581071901_226424581_0_0_0&sr_pri_blocks=581071901_226424581_0_0_0__17910&from=searchresults
W Melbourne,"Melbourne CBD, Melbourne",AUD 395,Superb,9.1,"2,862","Cozy (35sqm), Guest room, 1 King",https://www.booking.com/hotel/au/w-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=659551505_384748222_2_2_0&highlighted_blocks=659551505_384748222_2_2_0&matching_block_id=659551505_384748222_2_2_0&sr_pri_blocks=659551505_384748222_2_2_0__39500&from=searchresults
Novotel Melbourne South Wharf,"Melbourne CBD, Melbourne",AUD 167,Fabulous,8.8,"6,031",Standard Double Room with Two Double Beds,https://www.booking.com/hotel/au/novotel-melbourne-south-wharf.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=271226601_106254093_2_2_0&highlighted_blocks=271226601_106254093_2_2_0&matching_block_id=271226601_106254093_2_2_0&sr_pri_blocks=271226601_106254093_2_2_0__16720&from_sustainable_property_sr=1&from=searchresults
Hyatt Centric Melbourne,"Melbourne CBD, Melbourne",AUD 225,Fabulous,8.7,"1,901",King Room,https://www.booking.com/hotel/au/hyatt-centric-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=777104612_336028884_2_1_0&highlighted_blocks=777104612_336028884_2_1_0&matching_block_id=777104612_336028884_2_1_0&sr_pri_blocks=777104612_336028884_2_1_0__22500&from=searchresults
Imagine Lighthouse,"Melbourne CBD, Melbourne",AUD 173,Very good,8.1,"1,917",One-Bedroom Sky Apartment,https://www.booking.com/hotel/au/imagine-lighthouse.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=301490601_0_2_0_0&highlighted_blocks=301490601_0_2_0_0&matching_block_id=301490601_0_2_0_0&sr_pri_blocks=301490601_0_2_0_0__17328&from=searchresults
Crowne Plaza Melbourne by IHG,"Docklands, Melbourne",AUD 233,Very good,8.5,"4,657",Standard Room,https://www.booking.com/hotel/au/crowne-plaza-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=17932629_94319239_2_2_0&highlighted_blocks=17932629_94319239_2_2_0&matching_block_id=17932629_94319239_2_2_0&sr_pri_blocks=17932629_94319239_2_2_0__23300&from=searchresults
Batman's Hill on Collins,"Melbourne CBD, Melbourne",AUD 133,Good,7.9,"4,512",Standard Queen Room,https://www.booking.com/hotel/au/quality-batman-s-hill-on-collins.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=3724619_0_2_0_0&highlighted_blocks=3724619_0_2_0_0&matching_block_id=3724619_0_2_0_0&sr_pri_blocks=3724619_0_2_0_0__13256&from=searchresults
Hyde Melbourne Place,"Melbourne CBD, Melbourne",AUD 300,Fabulous,8.8,276,Everyday Queen,https://www.booking.com/hotel/au/melbourne-place-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=1243587001_396268169_2_2_0&highlighted_blocks=1243587001_396268169_2_2_0&matching_block_id=1243587001_396268169_2_2_0&sr_pri_blocks=1243587001_396268169_2_2_0__30000&from=searchresults
Peppers Docklands,"Docklands, Melbourne",AUD 169,Good,7.8,"1,951",Peppers Petite Room,https://www.booking.com/hotel/au/peppers-docklands.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=157203823_402399308_2_2_0&highlighted_blocks=157203823_402399308_2_2_0&matching_block_id=157203823_402399308_2_2_0&sr_pri_blocks=157203823_402399308_2_2_0__16900&from=searchresults
Quincy Hotel Melbourne,"Melbourne CBD, Melbourne",AUD 212,Very good,8.4,"7,045",Quincy Queen or Twin Room,https://www.booking.com/hotel/au/quincy-melbourne.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=653327002_377363405_0_42_0&highlighted_blocks=653327002_377363405_0_42_0&matching_block_id=653327002_377363405_0_42_0&sr_pri_blocks=653327002_377363405_0_42_0__21165&from=searchresults
Vibe Hotel Melbourne Docklands,"Docklands, Melbourne",AUD 183,Very good,8.2,"4,675",Guest Room King,https://www.booking.com/hotel/au/vibe-melbourne-docklands.en-gb.html?label=en-au-booking-desktop-NG5ZKhQc*lZ*DP_1zn8GPAS652796015697%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9071443%3Ali%3Adec%3Adm&aid=2311236&ucfs=1&arphpl=1&checkin=2025-06-01&checkout=2025-06-02&dest_id=1593&dest_type=district&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=e9d6564297e501fd&srepoch=1746533765&all_sr_blocks=216276118_391312052_2_2_0&highlighted_blocks=216276118_391312052_2_2_0&matching_block_id=216276118_391312052_2_2_0&sr_pri_blocks=216276118_391312052_2_2_0__18320&from=searchresults
